Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
2019-4-2,Consolação,-23.5581,-46.6606,112704,86,18,41,10,25,24,20,27,NORMAL
2019-7-30,Consolação,-23.5581,-46.6606,111841,21,54,57,25,7,24,29,25,NORMAL
2018-9-26,Fradique Coutinho,-23.5661,-46.6841,35222,16,50,14,20,38,43,10,5,NORMAL
2018-10-15,Fradique Coutinho,-23.5661,-46.6841,36663,11,15,9,9,34,14,28,17,NORMAL
2019-12-17,Consolação,-23.5581,-46.6606,113900,72,47,39,9,11,34,27,26,NORMAL
2018-4-9,Fradique Coutinho,-23.5661,-46.6841,33605,65,31,39,23,28,5,39,43,NORMAL
2018-6-4,Fradique Coutinho,-23.5661,-46.6841,35511,50,55,40,15,18,43,8,19,NORMAL
2018-7-19,Fradique Coutinho,-23.5661,-46.6841,35749,53,44,3,13,16,37,32,5,NORMAL
2019-4-23,Fradique Coutinho,-23.5661,-46.6841,35530,15,10,14,40,43,14,37,40,NORMAL
2019-6-27,Fradique Coutinho,-23.5661,-46.6841,35155,86,41,50,18,41,9,35,16,NORMAL
2019-1-11,Tamanduateí,-23.59290,-46.5897,49993,27,39,5,40,43,29,39,5,REABASTECER
2018-1-15,Tamanduateí,-23.59290,-46.5897,50280,36,46,39,5,30,37,18,34,REABASTECER
2018-2-9,São Judas,-23.6255,-46.6411,14022,73,49,65,18,17,9,7,3,REABASTECER
2018-5-9,São Judas,-23.6255,-46.6411,16870,73,22,53,37,9,38,20,17,NORMAL
2019-5-22,Tamanduateí,-23.59290,-46.5897,50877,14,61,17,40,32,40,33,43,NORMAL
2018-7-29,Tamanduateí,-23.59290,-46.5897,52604,62,21,13,43,11,5,18,24,REABASTECER
2019-7-20,Tamanduateí,-23.59290,-46.5897,51655,55,37,47,37,27,24,5,34,NORMAL
2019-9-6,Tamanduateí,-23.59290,-46.5897,49484,48,7,7,21,43,37,8,20,NORMAL
2018-10-14,Tamanduateí,-23.59290,-46.5897,50453,86,58,61,17,2,23,5,3,REABASTECER
2018-11-28,São Judas,-23.6255,-46.6411,15195,27,34,37,43,24,29,27,28,NORMAL
2019-1-13,São Judas,-23.6255,-46.6411,15004,43,18,50,13,12,28,10,8,NORMAL
2019-7-26,São Judas,-23.6255,-46.6411,14026,38,21,21,33,19,8,10,7,NORMAL
2019-10-15,Tamanduateí,-23.59290,-46.5897,50402,11,57,46,21,12,10,30,29,NORMAL
2019-10-30,Tamanduateí,-23.59290,-46.5897,51329,29,41,6,6,36,43,18,6,NORMAL
2018-12-12,Sé,-23.55,-46.6333,193435,76,44,35,21,15,21,20,14,NORMAL
2018-6-1,Vila Mariana,-23.5895,-46.6346,21845,35,44,10,24,34,33,24,25,NORMAL
2018-2-7,Brás,-23.5451,-46.6162,71031,70,61,5,22,33,10,27,13,REABASTECER
2019-7-2,Sé,-23.55,-46.6333,194876,37,13,65,28,3,27,37,43,REABASTECER
2018-10-3,Brás,-23.5451,-46.6162,70626,4,25,10,20,38,18,17,27,NORMAL
2018-3-3,Brás,-23.5451,-46.6162,71000,58,43,31,29,11,15,8,37,NORMAL
2019-1-13,Brás,-23.5451,-46.6162,74385,69,44,40,22,43,26,28,1,REABASTECER
2018-4-20,Brás,-23.5451,-46.6162,70567,38,10,27,34,40,37,24,30,NORMAL
2018-7-24,Brooklin,-23.6263,-46.6878,29521,25,51,56,39,19,43,43,12,NORMAL
2019-5-21,Brás,-23.5451,-46.6162,70977,78,16,16,29,32,22,9,24,NORMAL
2019-4-23,Brooklin,-23.6263,-46.6878,26966,76,48,38,10,12,19,2,32,NORMAL
2019-12-3,Brás,-23.5451,-46.6162,73099,73,30,10,32,35,34,28,31,NORMAL
2019-9-20,Brooklin,-23.6263,-46.6878,26939,7,49,56,17,33,21,26,16,REABASTECER
2018-11-5,Barra Funda,-23.5542,-46.6707,148034,66,62,19,33,10,5,23,12,NORMAL
2019-12-24,Brooklin,-23.6263,-46.6878,29995,44,65,51,7,38,4,29,5,NORMAL
2018-1-20,Campo Belo,-23.6188,-46.6823,23894,65,19,15,20,8,38,17,12,NORMAL
2018-6-25,Barra Funda,-23.5542,-46.6707,147332,86,60,20,43,26,28,39,25,NORMAL
2018-5-5,Campo Belo,-23.6188,-46.6823,26911,70,27,55,5,34,29,6,31,NORMAL
2018-8-25,Campo Belo,-23.6188,-46.6823,25430,20,17,8,34,23,17,34,25,REABASTECER
2018-10-8,Campo Belo,-23.6188,-46.6823,24959,35,9,59,15,41,9,40,20,REABASTECER
2018-10-28,Campo Belo,-23.6188,-46.6823,26983,16,65,32,43,43,12,43,25,NORMAL
2018-2-29,Tatuapé,-23.5402,-46.5765,69890,16,37,48,19,20,33,21,27,NORMAL
2018-4-4,Tatuapé,-23.5402,-46.5765,70408,26,12,59,13,13,29,37,43,NORMAL
2019-8-22,Barra Funda,-23.5542,-46.6707,149984,56,48,41,36,37,14,19,18,NORMAL
2019-4-10,Campo Belo,-23.6188,-46.6823,25928,19,29,10,23,4,9,34,31,REABASTECER
2019-4-25,Campo Belo,-23.6188,-46.6823,26956,42,61,52,22,35,11,20,20,NORMAL
2018-11-29,Higienópolis-Mackenzie,-23.5488,-46.6519,92448,23,47,20,43,5,34,12,21,REABASTECER
2019-7-29,Paraíso,-23.57677,-46.63933,71152,50,43,19,32,9,27,43,19,NORMAL
2019-8-29,Higienópolis-Mackenzie,-23.5488,-46.6519,89933,45,26,65,18,40,38,29,11,NORMAL
2018-6-27,Faria Lima,-23.5675,-46.6929,53547,38,39,9,11,43,25,24,26,REABASTECER
2018-1-7,Faria Lima,-23.5675,-46.6929,53940,26,35,23,23,17,29,19,21,NORMAL
2018-9-26,Faria Lima,-23.5675,-46.6929,52515,42,56,47,16,21,9,40,8,NORMAL
2018-11-26,Faria Lima,-23.5675,-46.6929,52536,57,28,23,41,37,7,15,33,NORMAL
2019-3-16,Faria Lima,-23.5675,-46.6929,51521,35,21,38,7,27,32,7,41,NORMAL
2019-6-14,Faria Lima,-23.5675,-46.6929,51186,74,25,48,28,24,12,11,26,NORMAL
2018-12-20,Brigadeiro,-23.5683,-46.6482,49315,64,65,33,9,43,26,34,30,NORMAL
2018-12-20,Faria Lima,-23.5675,-46.6929,51042,86,21,47,20,30,21,43,24,NORMAL
2019-8-27,Faria Lima,-23.5675,-46.6929,51818,68,65,2,22,11,22,33,30,NORMAL
2019-10-6,Faria Lima,-23.5675,-46.6929,52600,22,28,5,25,33,22,11,36,NORMAL
2019-11-7,Faria Lima,-23.5675,-46.6929,54316,6,32,65,12,38,21,16,43,REABASTECER
2019-6-18,Faria Lima,-23.5675,-46.6929,51878,28,9,17,19,9,43,41,10,REABASTECER
2019-6-28,Faria Lima,-23.5675,-46.6929,52989,29,19,65,35,6,9,40,13,NORMAL
2019-11-9,Faria Lima,-23.5675,-46.6929,54384,73,12,54,9,28,10,8,34,NORMAL
2018-1-11,Trianon-Masp,-23.5634,-46.6544,42064,78,65,50,7,4,20,38,2,REABASTECER
2018-2-2,Pinheiros,-23.5664,-46.703,78331,25,3,50,32,7,4,37,21,REABASTECER
2018-2-30,Pinheiros,-23.5664,-46.703,79795,8,31,50,30,21,37,7,39,REABASTECER
2018-4-4,Pinheiros,-23.5664,-46.703,78699,31,14,13,43,16,30,43,34,NORMAL
2018-6-3,Pinheiros,-23.5664,-46.703,77461,64,60,5,30,28,32,26,8,NORMAL
2018-8-27,Trianon-Masp,-23.5634,-46.6544,42861,45,17,43,33,12,39,20,24,NORMAL
2019-7-5,Pinheiros,-23.5664,-46.703,76424,86,65,60,9,13,16,20,20,NORMAL
2018-11-4,Pinheiros,-23.5664,-46.703,78014,35,26,50,42,43,21,14,10,NORMAL
2018-11-2,Trianon-Masp,-23.5634,-46.6544,42740,70,18,8,1,31,43,26,3,NORMAL
2019-7-30,Pinheiros,-23.5664,-46.703,78784,25,36,17,4,40,17,2,10,NORMAL
2019-2-2,Pinheiros,-23.5664,-46.703,78044,24,19,20,16,43,7,25,19,NORMAL
2019-11-9,Pinheiros,-23.5664,-46.703,77702,61,11,57,15,15,6,11,22,NORMAL
2019-11-27,Pinheiros,-23.5664,-46.703,77517,67,34,65,7,23,33,21,35,NORMAL
2018-1-26,Butantã,-23.5844,-46.7252,65881,86,28,13,9,21,7,38,29,NORMAL
2019-7-19,Pinheiros,-23.5664,-46.703,77818,32,48,31,32,39,16,6,9,NORMAL
2018-4-23,Butantã,-23.5844,-46.7252,66337,32,40,2,22,31,19,27,16,REABASTECER
2019-10-22,Pinheiros,-23.5664,-46.703,77075,38,56,49,18,7,22,28,40,NORMAL
2019-12-14,Pinheiros,-23.5664,-46.703,76563,68,65,4,10,37,18,32,6,NORMAL
2018-1-1,Consolação,-23.5581,-46.6606,114228,86,65,65,43,43,43,43,43,NORMAL
2018-1-23,Butantã,-23.5844,-46.7252,64176,26,49,41,19,33,19,2,43,REABASTECER
2018-4-4,Butantã,-23.5844,-46.7252,65615,45,15,5,38,26,29,18,3,REABASTECER
2018-3-29,Consolação,-23.5581,-46.6606,111681,73,42,56,34,40,32,13,9,NORMAL
2018-4-16,Consolação,-23.5581,-46.6606,114451,79,55,4,15,6,13,32,29,NORMAL
2018-8-5,Butantã,-23.5844,-46.7252,67762,4,65,8,18,8,37,10,33,NORMAL
2018-9-10,Butantã,-23.5844,-46.7252,66989,35,8,56,2,41,13,39,32,REABASTECER
2018-9-13,Butantã,-23.5844,-46.7252,66076,86,58,32,36,29,7,26,17,NORMAL
2018-10-21,Butantã,-23.5844,-46.7252,66884,58,40,20,39,10,19,43,10,NORMAL
2018-11-6,Butantã,-23.5844,-46.7252,65672,78,56,51,31,39,17,34,43,NORMAL
2018-11-15,Butantã,-23.5844,-46.7252,67416,86,56,48,1,4,23,35,15,NORMAL
2019-2-6,Consolação,-23.5581,-46.6606,115400,25,45,28,10,10,23,33,32,NORMAL
2018-1-13,Fradique Coutinho,-23.5661,-46.6841,36826,66,55,45,11,35,43,35,43,NORMAL
2018-10-30,Fradique Coutinho,-23.5661,-46.6841,36536,37,65,32,11,23,17,4,10,REABASTECER
2018-1-6,Tamanduateí,-23.59290,-46.5897,52013,34,39,33,26,23,20,20,25,NORMAL
2018-2-6,Tamanduateí,-23.59290,-46.5897,51087,22,46,38,35,29,7,13,33,NORMAL
2018-4-2,Fradique Coutinho,-23.5661,-46.6841,33547,52,16,25,40,13,29,19,23,NORMAL
2018-11-6,Fradique Coutinho,-23.5661,-46.6841,35343,71,36,60,33,5,43,30,30,REABASTECER
2018-10-7,Tamanduateí,-23.59290,-46.5897,53360,76,29,41,29,30,41,36,21,NORMAL
2018-12-21,Fradique Coutinho,-23.5661,-46.6841,36083,34,49,51,29,5,20,20,11,NORMAL
2019-9-19,Consolação,-23.5581,-46.6606,112921,86,2,51,17,10,32,36,8,REABASTECER
2019-10-15,Consolação,-23.5581,-46.6606,112807,86,39,61,15,35,33,17,13,NORMAL
2019-10-29,Consolação,-23.5581,-46.6606,112800,12,16,34,11,26,27,43,35,REABASTECER
2019-11-4,Consolação,-23.5581,-46.6606,114775,52,55,61,36,3,4,18,17,REABASTECER
2018-11-22,Fradique Coutinho,-23.5661,-46.6841,34297,86,57,56,18,22,43,7,43,NORMAL
2019-1-8,Fradique Coutinho,-23.5661,-46.6841,36913,38,30,7,16,27,6,39,29,REABASTECER
2019-6-21,Fradique Coutinho,-23.5661,-46.6841,36471,59,14,23,34,22,29,19,38,NORMAL
2018-10-10,Fradique Coutinho,-23.5661,-46.6841,36568,57,35,50,20,14,37,9,37,NORMAL
2018-11-1,Tamanduateí,-23.59290,-46.5897,50002,8,22,9,6,19,9,25,14,REABASTECER
2019-1-25,Tamanduateí,-23.59290,-46.5897,51438,67,10,44,43,29,20,32,34,NORMAL
2018-7-26,São Judas,-23.6255,-46.6411,16614,10,58,33,41,43,30,36,15,REABASTECER
2019-2-21,São Judas,-23.6255,-46.6411,17424,17,50,8,15,30,30,23,34,NORMAL
2019-3-9,Tamanduateí,-23.59290,-46.5897,51409,58,14,14,34,32,35,26,27,NORMAL
2019-3-9,São Judas,-23.6255,-46.6411,16975,12,65,8,36,3,22,29,13,NORMAL
2019-4-20,Tamanduateí,-23.59290,-46.5897,52631,63,57,47,22,5,43,34,35,REABASTECER
2018-6-14,Sé,-23.55,-46.6333,191738,56,15,2,6,9,8,7,4,REABASTECER
2018-6-26,Sé,-23.55,-46.6333,194532,33,18,9,19,43,10,9,37,NORMAL
2018-12-25,Sé,-23.55,-46.6333,192299,40,17,3,21,4,20,15,43,REABASTECER
2018-3-15,Vila Mariana,-23.5895,-46.6346,24693,71,0,6,35,24,22,19,4,NORMAL
2018-6-5,Sé,-23.55,-46.6333,195010,61,10,65,43,43,32,6,38,REABASTECER
2018-5-14,Vila Mariana,-23.5895,-46.6346,21635,17,30,58,24,8,4,5,12,NORMAL
2018-10-13,Vila Mariana,-23.5895,-46.6346,25003,9,42,38,34,1,43,6,22,REABASTECER
2019-1-14,Sé,-23.55,-46.6333,191381,39,31,11,43,17,37,22,9,NORMAL
2019-3-20,Vila Mariana,-23.5895,-46.6346,24779,69,15,6,43,13,12,12,4,REABASTECER
2018-3-26,Brás,-23.5451,-46.6162,70904,86,40,65,28,10,36,39,36,NORMAL
2019-7-25,Vila Mariana,-23.5895,-46.6346,24990,68,9,36,36,35,17,35,37,REABASTECER
2019-11-12,Sé,-23.55,-46.6333,192221,74,49,65,11,9,43,7,24,NORMAL
2018-1-1,Brooklin,-23.6263,-46.6878,28623,86,65,65,43,43,43,43,43,NORMAL
2018-1-13,Brooklin,-23.6263,-46.6878,26574,62,50,29,36,39,34,40,43,NORMAL
2018-1-21,Brooklin,-23.6263,-46.6878,27234,73,58,43,14,13,12,2,6,REABASTECER
2019-2-24,Brás,-23.5451,-46.6162,71320,77,52,27,21,9,39,29,10,NORMAL
2019-6-19,Brás,-23.5451,-46.6162,74183,55,18,16,19,8,29,40,3,NORMAL
2019-7-9,Brás,-23.5451,-46.6162,73408,33,22,11,43,12,43,43,12,NORMAL
2018-10-18,Brás,-23.5451,-46.6162,70592,28,52,43,13,18,14,41,43,NORMAL
2019-3-13,Brás,-23.5451,-46.6162,74317,64,13,32,11,19,15,40,27,NORMAL
2019-11-11,Brás,-23.5451,-46.6162,71731,24,41,18,13,33,43,25,43,NORMAL
2019-4-3,Barra Funda,-23.5542,-46.6707,150287,74,43,32,22,8,21,11,15,NORMAL
2019-4-9,Barra Funda,-23.5542,-46.6707,149812,9,7,59,16,26,40,31,30,NORMAL
2018-6-16,Campo Belo,-23.6188,-46.6823,26504,21,30,34,17,34,33,22,36,NORMAL
2019-11-20,Barra Funda,-23.5542,-46.6707,150072,24,55,30,43,25,16,13,38,NORMAL
2018-12-19,Campo Belo,-23.6188,-46.6823,24361,56,38,65,18,25,12,40,31,NORMAL
2018-7-11,Tatuapé,-23.5402,-46.5765,69609,49,55,10,27,36,39,38,13,NORMAL
2018-7-17,Tatuapé,-23.5402,-46.5765,67190,77,19,40,7,8,22,11,30,NORMAL
2018-8-8,Tatuapé,-23.5402,-46.5765,70558,41,21,29,22,7,33,20,21,NORMAL
2018-10-15,Tatuapé,-23.5402,-46.5765,68483,18,18,8,30,33,23,39,17,NORMAL
2019-10-21,Campo Belo,-23.6188,-46.6823,26294,86,56,9,25,30,13,8,24,REABASTECER
2018-4-17,Tatuapé,-23.5402,-46.5765,69740,75,52,37,15,43,37,26,39,NORMAL
2019-1-9,Tatuapé,-23.5402,-46.5765,70630,69,41,23,13,34,22,43,43,NORMAL
2018-3-15,São Judas,-23.6255,-46.6411,16258,62,38,36,15,43,21,29,25,NORMAL
2018-3-28,São Judas,-23.6255,-46.6411,14954,16,22,13,31,34,25,12,12,NORMAL
2018-3-19,Tamanduateí,-23.59290,-46.5897,51869,34,58,60,15,23,24,9,30,NORMAL
2019-3-25,Tamanduateí,-23.59290,-46.5897,51406,64,49,20,19,18,31,5,4,NORMAL
2018-6-6,Tamanduateí,-23.59290,-46.5897,50987,17,18,58,24,19,9,43,29,NORMAL
2018-6-10,São Judas,-23.6255,-46.6411,16757,23,18,23,20,7,39,37,20,NORMAL
2019-6-1,Tamanduateí,-23.59290,-46.5897,52033,20,65,15,9,40,19,40,15,NORMAL
2018-8-17,São Judas,-23.6255,-46.6411,14739,39,3,17,26,38,4,40,20,REABASTECER
2019-11-26,Tamanduateí,-23.59290,-46.5897,50387,30,8,25,11,12,15,43,33,REABASTECER
2019-8-26,São Judas,-23.6255,-46.6411,14465,11,44,60,25,20,27,16,26,REABASTECER
2019-10-18,São Judas,-23.6255,-46.6411,16251,13,57,15,31,19,10,23,24,NORMAL
2019-12-1,São Judas,-23.6255,-46.6411,14710,18,57,56,43,30,8,23,19,NORMAL
2019-1-23,Sé,-23.55,-46.6333,193582,42,50,14,21,24,11,36,8,NORMAL
2018-3-9,Sé,-23.55,-46.6333,192213,86,42,55,5,43,13,37,33,NORMAL
2019-2-11,Sé,-23.55,-46.6333,193044,51,13,25,26,41,27,4,26,REABASTECER
2019-2-14,Sé,-23.55,-46.6333,191739,25,61,65,20,28,18,36,12,NORMAL
2018-6-9,Sé,-23.55,-46.6333,193650,17,50,43,24,28,17,30,23,NORMAL
2018-7-8,Sé,-23.55,-46.6333,193539,86,12,65,26,41,23,9,34,NORMAL
2019-6-8,Sé,-23.55,-46.6333,193401,13,38,40,24,7,34,5,6,REABASTECER
2018-7-8,Vila Mariana,-23.5895,-46.6346,22280,34,18,21,28,38,43,9,43,NORMAL
2018-9-4,Sé,-23.55,-46.6333,191380,42,5,65,29,35,24,8,32,REABASTECER
2019-10-18,Sé,-23.55,-46.6333,192266,25,65,46,18,11,41,29,32,NORMAL
2018-12-6,Sé,-23.55,-46.6333,192882,40,10,16,29,39,38,41,31,NORMAL
2018-12-25,Sé,-23.55,-46.6333,192299,40,17,3,21,4,20,15,43,REABASTECER
2019-12-18,Sé,-23.55,-46.6333,195042,75,8,32,7,36,10,31,4,NORMAL
2019-12-29,Sé,-23.55,-46.6333,194232,51,11,19,26,29,26,26,6,NORMAL
2018-3-30,Brás,-23.5451,-46.6162,73968,43,18,41,16,39,20,19,20,NORMAL
2019-4-19,Vila Mariana,-23.5895,-46.6346,24947,46,33,8,31,33,10,25,16,NORMAL
2019-6-26,Vila Mariana,-23.5895,-46.6346,21739,76,65,44,24,15,39,13,21,NORMAL
2018-9-10,Brás,-23.5451,-46.6162,72691,61,17,29,43,3,13,25,35,REABASTECER
2019-9-26,Vila Mariana,-23.5895,-46.6346,24774,74,42,26,28,29,28,25,20,NORMAL
2018-10-1,Brás,-23.5451,-46.6162,71089,24,38,25,26,43,20,27,37,NORMAL
2018-3-24,Brás,-23.5451,-46.6162,71771,21,51,16,37,16,41,5,43,NORMAL
2019-3-24,Brás,-23.5451,-46.6162,73593,44,14,24,30,18,29,39,35,NORMAL
2019-4-9,Brás,-23.5451,-46.6162,72289,58,53,43,28,38,26,22,24,NORMAL
2018-7-5,Brás,-23.5451,-46.6162,71086,24,8,52,22,15,42,18,20,NORMAL
2019-11-3,Brás,-23.5451,-46.6162,71397,13,32,3,6,22,32,14,36,REABASTECER
2019-2-10,Brás,-23.5451,-46.6162,74436,37,12,65,28,22,35,38,19,NORMAL
2018-12-17,Brooklin,-23.6263,-46.6878,26660,36,8,27,1,39,22,27,21,REABASTECER
2018-2-26,Barra Funda,-23.5542,-46.6707,147699,51,61,23,14,24,16,24,37,NORMAL
2019-5-27,Brás,-23.5451,-46.6162,71733,16,45,49,6,14,43,33,39,REABASTECER
2019-4-25,Brooklin,-23.6263,-46.6878,27277,58,30,28,7,5,16,40,25,REABASTECER
2018-2-21,Barra Funda,-23.5542,-46.6707,147449,15,22,57,26,43,40,43,13,NORMAL
2018-4-27,Campo Belo,-23.6188,-46.6823,26533,62,20,48,30,25,23,38,25,NORMAL
2019-6-6,Barra Funda,-23.5542,-46.6707,149175,79,48,48,16,29,16,28,8,NORMAL
2018-6-26,Campo Belo,-23.6188,-46.6823,23496,4,26,27,31,39,40,26,43,REABASTECER
2019-7-6,Barra Funda,-23.5542,-46.6707,147188,58,62,26,42,22,7,35,16,NORMAL
2018-7-5,Campo Belo,-23.6188,-46.6823,24877,10,49,38,12,7,16,37,11,REABASTECER
2018-12-1,Barra Funda,-23.5542,-46.6707,148983,56,51,31,38,37,6,40,33,REABASTECER
2018-12-7,Campo Belo,-23.6188,-46.6823,23215,79,44,22,7,35,40,40,39,NORMAL
2018-2-24,Tatuapé,-23.5402,-46.5765,67136,74,65,14,31,38,43,37,5,REABASTECER
2018-6-2,Tatuapé,-23.5402,-46.5765,68966,6,40,44,27,27,18,25,8,REABASTECER
2019-6-3,Campo Belo,-23.6188,-46.6823,26599,25,51,36,31,24,23,43,43,NORMAL
2019-7-22,Campo Belo,-23.6188,-46.6823,24144,78,65,28,38,41,43,20,30,NORMAL
2018-10-29,Tatuapé,-23.5402,-46.5765,67644,55,12,44,27,21,39,31,7,NORMAL
2018-4-29,Tatuapé,-23.5402,-46.5765,70927,55,46,19,22,30,30,18,32,NORMAL
2019-3-29,Tatuapé,-23.5402,-46.5765,67616,28,40,13,27,13,16,7,43,NORMAL
2019-9-22,Brooklin,-23.6263,-46.6878,28883,73,34,42,7,25,18,19,11,NORMAL
2019-10-9,Brooklin,-23.6263,-46.6878,28465,86,65,51,6,8,8,29,26,REABASTECER
2018-1-20,Barra Funda,-23.5542,-46.6707,147843,66,24,9,39,6,18,17,12,REABASTECER
2018-1-16,Campo Belo,-23.6188,-46.6823,25753,23,35,38,36,25,8,33,28,NORMAL
2018-5-11,Barra Funda,-23.5542,-46.6707,149161,6,2,17,35,38,13,30,33,REABASTECER
2018-5-12,Barra Funda,-23.5542,-46.6707,149448,86,65,10,35,36,11,28,28,NORMAL
2018-6-13,Barra Funda,-23.5542,-46.6707,149930,25,6,45,8,27,31,38,33,NORMAL
2018-8-25,Barra Funda,-23.5542,-46.6707,147750,21,40,11,29,26,28,43,43,NORMAL
2019-4-17,Barra Funda,-23.5542,-46.6707,147596,24,20,65,33,39,5,6,38,REABASTECER
2019-7-14,Barra Funda,-23.5542,-46.6707,148856,71,24,35,27,36,33,43,32,NORMAL
2019-11-3,Barra Funda,-23.5542,-46.6707,150299,36,23,29,8,13,30,41,20,NORMAL
2018-8-1,Tatuapé,-23.5402,-46.5765,70745,26,61,13,43,34,16,8,11,NORMAL
2018-8-9,Tatuapé,-23.5402,-46.5765,67934,32,17,22,21,4,31,18,16,REABASTECER
2019-6-24,Campo Belo,-23.6188,-46.6823,25405,86,44,23,12,25,32,1,9,REABASTECER
2018-3-16,Tatuapé,-23.5402,-46.5765,67158,27,4,47,32,43,31,33,39,REABASTECER
2018-2-16,Eucaliptos,-23.61,-46.6686,23933,86,48,28,10,33,35,21,34,NORMAL
2018-3-13,Eucaliptos,-23.61,-46.6686,24812,86,12,41,25,8,35,6,11,REABASTECER
2019-6-2,Tatuapé,-23.5402,-46.5765,67732,5,24,24,39,10,6,31,36,NORMAL
2018-5-18,Eucaliptos,-23.61,-46.6686,21619,54,13,59,32,43,9,12,43,NORMAL
2018-11-27,Tatuapé,-23.5402,-46.5765,68593,22,50,51,20,38,24,37,28,NORMAL
2018-12-16,Tatuapé,-23.5402,-46.5765,69785,9,61,42,14,8,13,3,43,REABASTECER
2019-9-1,Tatuapé,-23.5402,-46.5765,69124,23,23,65,43,38,24,30,32,NORMAL
2019-11-17,Tatuapé,-23.5402,-46.5765,67452,75,55,9,8,39,35,23,31,NORMAL
2018-1-6,República,-23.5436,-46.6434,110431,41,29,31,28,22,26,23,21,NORMAL
2019-1-4,Eucaliptos,-23.61,-46.6686,21957,18,49,5,36,3,24,22,26,REABASTECER
2019-8-19,Tatuapé,-23.5402,-46.5765,69517,38,38,1,43,43,21,38,35,NORMAL
2018-6-22,República,-23.5436,-46.6434,108958,56,51,25,24,4,4,33,5,REABASTECER
2019-8-1,Eucaliptos,-23.61,-46.6686,21984,86,9,9,20,2,34,7,12,REABASTECER
2019-3-1,República,-23.5436,-46.6434,108020,50,19,4,41,22,43,22,31,NORMAL
2019-3-22,República,-23.5436,-46.6434,107079,10,5,52,14,30,19,28,36,NORMAL
2018-6-14,Moema,-23.5489,-46.6388,20274,37,10,5,14,24,19,10,35,REABASTECER
2018-9-3,Moema,-23.5489,-46.6388,17979,32,24,22,39,43,34,41,10,NORMAL
2019-3-1,República,-23.5436,-46.6434,108020,50,19,4,41,22,43,22,31,NORMAL
2019-7-20,República,-23.5436,-46.6434,107260,41,39,0,24,28,18,10,37,NORMAL
2019-10-14,República,-23.5436,-46.6434,109692,86,29,42,5,17,13,17,25,REABASTECER
2019-12-25,Hospital São Paulo,-23.5984,-46.6455,25250,66,63,34,43,29,31,17,43,NORMAL
2018-9-5,Higienópolis-Mackenzie,-23.5488,-46.6519,93113,74,53,29,6,3,8,10,36,REABASTECER
2018-2-25,Paraíso,-23.57677,-46.63933,72999,71,15,8,37,35,31,43,13,REABASTECER
2018-3-9,Higienópolis-Mackenzie,-23.5488,-46.6519,91172,16,37,51,10,39,22,26,21,NORMAL
2018-3-22,Higienópolis-Mackenzie,-23.5488,-46.6519,91338,52,19,28,13,23,32,16,11,NORMAL
2018-7-29,Higienópolis-Mackenzie,-23.5488,-46.6519,90666,76,8,13,17,18,43,15,7,NORMAL
2018-9-25,Paraíso,-23.57677,-46.63933,70902,76,26,7,43,40,27,24,11,NORMAL
2018-8-27,Higienópolis-Mackenzie,-23.5488,-46.6519,90314,61,38,18,26,35,29,40,27,NORMAL
2019-1-12,Paraíso,-23.57677,-46.63933,70545,55,45,59,30,43,10,28,5,NORMAL
2019-10-9,Higienópolis-Mackenzie,-23.5488,-46.6519,90766,10,12,31,34,23,27,5,31,NORMAL
2019-6-29,Higienópolis-Mackenzie,-23.5488,-46.6519,89826,30,15,37,30,25,7,26,17,NORMAL
2019-9-2,Paraíso,-23.57677,-46.63933,71227,86,30,59,16,10,19,31,14,NORMAL
2018-2-5,Faria Lima,-23.5675,-46.6929,52423,23,65,21,43,18,31,32,43,NORMAL
2018-4-13,Brigadeiro,-23.5683,-46.6482,48630,45,39,51,6,6,11,17,21,REABASTECER
2018-9-11,Faria Lima,-23.5675,-46.6929,53004,13,10,19,9,31,23,16,24,NORMAL
2018-11-8,Faria Lima,-23.5675,-46.6929,51815,67,65,6,11,25,18,43,21,REABASTECER
2019-9-28,Faria Lima,-23.5675,-46.6929,51192,18,22,65,11,23,11,43,32,NORMAL
2019-9-26,Faria Lima,-23.5675,-46.6929,51556,32,31,11,15,29,13,7,40,NORMAL
2019-5-21,Butantã,-23.5844,-46.7252,67929,34,65,65,17,22,12,32,22,NORMAL
2018-9-1,Consolação,-23.5581,-46.6606,115157,50,57,30,26,43,43,20,10,NORMAL
2019-2-16,Butantã,-23.5844,-46.7252,67527,62,62,14,37,11,13,32,10,NORMAL
2019-3-9,Consolação,-23.5581,-46.6606,112947,47,22,58,37,24,9,27,39,NORMAL
2018-1-29,Fradique Coutinho,-23.5661,-46.6841,33318,77,7,65,43,15,25,11,22,NORMAL
2019-7-19,Consolação,-23.5581,-46.6606,111987,54,56,65,22,10,16,33,32,NORMAL
2018-7-18,Fradique Coutinho,-23.5661,-46.6841,34453,64,47,11,18,18,43,34,10,NORMAL
2019-11-12,Butantã,-23.5844,-46.7252,66341,9,40,60,13,22,43,30,13,REABASTECER
2018-3-5,Fradique Coutinho,-23.5661,-46.6841,35310,66,43,9,5,38,30,39,20,REABASTECER
2019-3-23,Fradique Coutinho,-23.5661,-46.6841,36418,52,37,65,31,34,10,26,35,NORMAL
2019-5-26,Fradique Coutinho,-23.5661,-46.6841,34772,41,18,61,23,35,7,37,9,NORMAL
